Name Raw,Name,Population,Weekly Household Equivalised Income,Product,Multiple of Average,GDP/head,Airports,States,Countries,Fractions
51820: Cockburn,Cockburn,125123,1199,150022477,1.09,73.15,Perth,NSW,Australia,1
51860: Cocos Islands,Cocos Islands,614,1066,654524,0.97,65.03,Cocos (Keeling) Island,NSW,Australia,1
11800: Coffs Harbour,Coffs Harbour,79725,864,68882400,0.79,52.71,Coffs Harbour,NSW,Australia,1
21750: Colac Otway,Colac Otway,22188,855,18970740,0.78,52.16,Warrnambool,NSW,Australia,1
51890: Collie,Collie,9150,813,7438950,0.74,49.60,Bunbury,NSW,Australia,1
41330: Coober Pedy,Coober Pedy,1574,571,898754,0.52,34.84,Coober Pedy,NSW,Australia,1
32500: Cook,Cook,4673,774,3616902,0.70,47.22,"Cairns,Weipa",QLD,Australia,"0.5,0.5"
12000: Coolamon,Coolamon,4465,819,3656835,0.75,49.97,Wagga Wagga,NSW,Australia,1
51960: Coolgardie,Coolgardie,3635,1205,4380175,1.10,73.51,Kalgoorie,WA,Australia,1
70700: Coomalie,Coomalie,1396,727,1014892,0.66,44.35,Darwin,NT,Australia,1
12150: Coonamble,Coonamble,3825,785,3002625,0.71,47.89,Dubbo,NSW,Australia,1
47800: Coorong,Coorong,5576,721,4020296,0.66,43.99,Adelaide,SA,Australia,1
52030: Coorow,Coorow,1091,700,763700,0.64,42.71,Geraldton,WA,Australia,1
12160: Cootamundra-Gundagai Regional,Cootamundra-Gundagai Regional,11404,754,8598616,0.69,46.00,Wagga Wagga,NSW,Australia,1
41560: Copper Coast,Copper Coast,15648,676,10578048,0.62,41.24,Adelaide,SA,Australia,1
21830: Corangamite,Corangamite,15993,834,13338162,0.76,50.88,Warrnambool,NSW,Australia,1
52100: Corrigin,Corrigin,1022,927,947394,0.84,56.55,Perth,WA,Australia,1
52170: Cottesloe,Cottesloe,8308,2050,17031400,1.87,125.07,Perth,WA,Australia,1
12350: Cowra,Cowra,12705,735,9338175,0.67,44.84,"Parkes,Bathurst",NSW,Australia,"0.5,0.5"
52240: Cranbrook,Cranbrook,1141,900,1026900,0.82,54.91,Albany,WA,Australia,1
32600: Croydon,Croydon,268,888,237984,0.81,54.18,Normanton,QLD,Australia,1
52310: Cuballing,Cuballing,929,803,745987,0.73,48.99,Perth,WA,Australia,1
52380: Cue,Cue,230,545,125350,0.50,33.25,Meekatharra,WA,Australia,1
12380: Cumberland,Cumberland,237420,920,218426400,0.84,56.13,Sydney,NSW,Australia,1
52450: Cunderdin,Cunderdin,1344,987,1326528,0.90,60.21,Perth,WA,Australia,1
52520: Dalwallinu,Dalwallinu,1428,1180,1685040,1.07,71.99,Perth,WA,Australia,1
52590: Dandaragan,Dandaragan,3573,881,3147813,0.80,53.75,Perth,WA,Australia,1
52660: Dardanup,Dardanup,15370,1047,16092390,0.95,63.88,Bunbury,WA,Australia,1
21890: Darebin,Darebin,150483,1190,179074770,1.08,72.60,Melbourne,VIC,Australia,1
71000: Darwin,Darwin,84846,1396,118445016,1.27,85.17,Darwin,NT,Australia,1
71150: Darwin Waterfront Precinct,Darwin Waterfront Precinct,288,1993,573984,1.81,121.59,Darwin,NT,Australia,1
52730: Denmark,Denmark,6537,769,5026953,0.70,46.92,Albany,WA,Australia,1
52800: Derby-West Kimberley,Derby-West Kimberley,8405,770,6471850,0.70,46.98,"Broome,Fitzroy Crossing",WA,Australia,"0.5,0.5"
61510: Derwent Valley,Derwent Valley,11236,768,8629248,0.70,46.85,Hobart,TAS,Australia,1
61610: Devonport,Devonport,26937,771,20768427,0.70,47.04,Launceston,TAS,Australia,1
32750: Diamantina,Diamantina,270,1224,330480,1.11,74.67,Mount Isa,QLD,Australia,1
52870: Donnybrook-Balingup,Donnybrook-Balingup,6398,860,5502280,0.78,52.47,Bunbury,WA,Australia,1
32770: Doomadgee,Doomadgee,1442,473,682066,0.43,28.86,Normanton,QLD,Australia,1
61810: Dorset,Dorset,7022,691,4852202,0.63,42.16,Launceston,TAS,Australia,1
32810: Douglas,Douglas,12660,865,10950900,0.79,52.77,Cairns,QLD,Australia,1
52940: Dowerin,Dowerin,733,864,633312,0.79,52.71,Perth,WA,Australia,1
12390: Dubbo Regional,Dubbo Regional,55894,998,55782212,0.91,60.89,Dubbo,NSW,Australia,1
53010: Dumbleyung,Dumbleyung,693,888,615384,0.81,54.18,Albany,WA,Australia,1
53080: Dundas,Dundas,695,646,448970,0.59,39.41,Esperance,WA,Australia,1
12700: Dungog,Dungog,9722,934,9080348,0.85,56.98,Newcastle,NSW,Australia,1
71300: East Arnhem,East Arnhem,10111,465,4701615,0.42,28.37,Gove,NT,Australia,1
53150: East Fremantle,East Fremantle,8064,1471,11862144,1.34,89.74,Perth,WA,Australia,1
22110: East Gippsland,East Gippsland,48922,742,36300124,0.68,45.27,Bairnsdale,VIC,Australia,1
53220: East Pilbara,East Pilbara,10304,1717,17691968,1.56,104.75,"Newman,Port Hedland",WA,Australia,"0.8,0.2"
12730: Edward River,Edward River,8457,840,7103880,0.76,51.25,Griffith,NSW,Australia,1
41750: Elliston,Elliston,1032,769,793608,0.70,46.92,Port Lincoln,SA,Australia,1
53290: Esperance,Esperance,14496,1002,14524992,0.91,61.13,Esperance,WA,Australia,1
33100: Etheridge,Etheridge,720,825,594000,0.75,50.33,"Normanton,Cairns,Hughenden",QLD,Australia,"0.4,0.3,0.3"
12750: Eurobodalla,Eurobodalla,40755,780,31788900,0.71,47.59,Bega,NSW,Australia,1
53360: Exmouth,Exmouth,3312,1212,4014144,1.10,73.94,Exmouth,WA,Australia,1
12850: Fairfield,Fairfield,206807,732,151382724,0.67,44.66,Sydney,NSW,Australia,1
12870: Federation,Federation,12854,792,10180368,0.72,48.32,"Albury-Wodonga,Griffith",NSW,Australia,"0.6,0.4"
33200: Flinders (Qld),Flinders (Qld),1535,935,1435225,0.85,57.04,Hughenden,QLD,Australia,1
62010: Flinders (Tas.),Flinders (Tas.),931,780,726180,0.71,47.59,Flinders Island,TAS,Australia,1
41830: Flinders Ranges,Flinders Ranges,1683,736,1238688,0.67,44.90,Port Augusta,SA,Australia,1
12900: Forbes,Forbes,9339,843,7872777,0.77,51.43,Parkes,NSW,Australia,1
41960: Franklin Harbour,Franklin Harbour,1327,791,1049657,0.72,48.26,"Port Augusta,Port Lincoln",SA,Australia,"0.5,0.5"
22170: Frankston,Frankston,141078,1034,145874652,0.94,63.08,Melbourne,VIC,Australia,1
33220: Fraser Coast,Fraser Coast,115079,683,78598957,0.62,41.67,Bundaberg,QLD,Australia,1
53430: Fremantle,Fremantle,33749,1267,42759983,1.15,77.30,Perth,WA,Australia,1
22250: Gannawarra,Gannawarra,10531,723,7613913,0.66,44.11,Bendigo,VIC,Australia,1
42030: Gawler,Gawler,26121,873,22803633,0.79,53.26,Adelaide,SA,Australia,1
62210: George Town,George Town,7267,638,4636346,0.58,38.92,Launceston,TAS,Australia,1
12930: Georges River,Georges River,153232,1131,173305392,1.03,69.00,Sydney,NSW,Australia,1
12950: Gilgandra,Gilgandra,4299,749,3219951,0.68,45.69,Dubbo,NSW,Australia,1
53570: Gingin,Gingin,5890,858,5053620,0.78,52.34,Perth,WA,Australia,1
33360: Gladstone,Gladstone,65302,1016,66346832,0.93,61.98,Rockhampton,QLD,Australia,1
